Date,Daily Change,Sentiment
12/05/2017,1.709992,-0.222916667
13/05/2017,-4.4649965,0.08
14/05/2017,-2.23249825,-0.016666667
15/05/2017,-2.23249825,0
16/05/2017,1.130005,0
17/05/2017,-10.900025,-0.032777778
18/05/2017,6.950013,0
19/05/2017,-2.230011,0
20/05/2017,-0.2399905,-0.063888889
21/05/2017,-0.11999525,0
22/05/2017,-0.11999525,0.106246298
23/05/2017,-6.490021,0.197118507
24/05/2017,6.360016,0.132053872
25/05/2017,6.609986,0.041666667
26/05/2017,8.310028,0.033333333
27/05/2017,4.9799955,0
28/05/2017,2.48999775,0.125
29/05/2017,1.244998875,0.05
30/05/2017,1.244998875,0
31/05/2017,5.910004,0.291666667
01/06/2017,-0.640015,0.163333333
02/06/2017,-0.519989,0.7
03/06/2017,3.7350005,0.125
04/06/2017,1.86750025,0.355208333
05/06/2017,1.86750025,0.15219697
06/06/2017,5.529999,-0.114102564
07/06/2017,6.799988,0.252604167
08/06/2017,10.350006,0.109331956
09/06/2017,-12.679993,0.081405574
10/06/2017,0.8450015,-0.075
11/06/2017,0.42250075,0.046590909
12/06/2017,0.42250075,0
13/06/2017,16.940002,0.174285714
14/06/2017,4.709992,0
15/06/2017,-5.320008,0
16/06/2017,-3.940002,0.13
17/06/2017,-0.800003,0.04375
18/06/2017,-0.4000015,0.045454546
19/06/2017,-0.4000015,-0.096428571
20/06/2017,2.440002,0.2
21/06/2017,4.160004,0.047619048
22/06/2017,6.209991,0.086666667
23/06/2017,0.840027,0.153472222
24/06/2017,-2.980011,0
25/06/2017,-1.4900055,0.077923481
26/06/2017,-1.4900055,0.235
27/06/2017,-15.119995,0
28/06/2017,8.869995,0
29/06/2017,-10.48999,0.027777778
30/06/2017,0.859985,0.151904762
01/07/2017,-4.494995,0.35
02/07/2017,-2.2474975,0.415740741
03/07/2017,-2.2474975,0.067045455
04/07/2017,-12.7649995,0.255952381
05/07/2017,-12.7649995,0.466666667
06/07/2017,-18.260009,0.25
07/07/2017,4.390014,0
08/07/2017,1.4149935,0
09/07/2017,0.70749675,-0.008333333
10/07/2017,0.70749675,0
11/07/2017,11.170013,0.19205748
12/07/2017,2.299988,0.13375
13/07/2017,-6.109985,0.226785714
14/07/2017,4.369995,0.110744048
15/07/2017,-4.104996,0.063888889
16/07/2017,-2.052498,0
17/07/2017,-2.052498,-0.066640693
18/07/2017,8.669983,0
19/07/2017,-2.97998,0.25
20/07/2017,4.660003,-0.014590774
21/07/2017,-1.520019,0.225
22/07/2017,7.0599975,-0.133333333
23/07/2017,3.52999875,0
24/07/2017,3.52999875,0
25/07/2017,-2.919983,0.084183674
26/07/2017,4.25,0.015555556
27/07/2017,-9.390015,0
28/07/2017,0.610016,0.037066667
29/07/2017,-5.800003,0.099705387
30/07/2017,-2.9000015,0.125833333
31/07/2017,-2.9000015,0.3
01/08/2017,-3.899994,0.5
02/08/2017,6.320008,0.25
03/08/2017,21.199981,0
04/08/2017,9.820008,0
05/08/2017,-0.8699955,-0.071428571
06/08/2017,-0.43499775,-0.021590909
07/08/2017,-0.43499775,0.025
08/08/2017,10.049988,0
09/08/2017,-1.690002,0
10/08/2017,-8.130005,0.03125
11/08/2017,2.470001,0.233964647
12/08/2017,2.9649965,0.159259259
13/08/2017,1.48249825,0.025
14/08/2017,1.48249825,0.203492064
15/08/2017,-1.470001,0.016666667
16/08/2017,0.580017,0
17/08/2017,-10.989991,0
18/08/2017,-4.460022,0.066666667
19/08/2017,-4.800003,0.097727273
20/08/2017,-2.4000015,0.081845238
21/08/2017,-2.4000015,0.06
22/08/2017,3.490021,0.075
23/08/2017,11.419983,-0.000189394
24/08/2017,0.160004,0
25/08/2017,-4.880005,-0.008134921
26/08/2017,-1.194992,-0.0625
27/08/2017,-0.597496,0.076226551
28/08/2017,-0.597496,-0.006557099
29/08/2017,1.699981,0.146428571
30/08/2017,5.820008,0.041666667
31/08/2017,2.720001,0.0825
01/09/2017,-0.5,0
02/09/2017,-2.904999,0
03/09/2017,-1.4524995,0
04/09/2017,-0.72624975,0.052857143
05/09/2017,-0.72624975,0
06/09/2017,-5.059997,0
07/09/2017,6.079986,0.136363636
08/09/2017,-7.209991,0
09/09/2017,10.145004,0
10/09/2017,5.072502,0
11/09/2017,5.072502,0
12/09/2017,-0.940002,0.125
13/09/2017,3.480011,-0.5
14/09/2017,11.410004,0.215333333
15/09/2017,2.169983,0
16/09/2017,2.595001,0.125
17/09/2017,1.2975005,0
18/09/2017,1.2975005,0
19/09/2017,-9.899994,0.2875
20/09/2017,-1.190002,0.366666667
21/09/2017,-7.429993,0
22/09/2017,-15.390015,0.1
23/09/2017,-3.050003,0
24/09/2017,-1.5250015,0.25
25/09/2017,-1.5250015,0.260416667
26/09/2017,0.26001,0.175
27/09/2017,-4.279999,0.07034632
28/09/2017,-1.369995,0.25
29/09/2017,1.5,0.073462302
30/09/2017,0.2149965,0
01/10/2017,0.10749825,0
02/10/2017,0.10749825,0.271428571
03/10/2017,6.610016,0
04/10/2017,6.869995,0
